Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
0,3,Passenger 42,male,,0,0,T00042,7.8958,,C
1,2,Passenger 43,female,3.0,1,2,T00043,41.5792,,C
1,3,Passenger 44,female,19.0,0,0,T00044,7.8792,,Q
0,3,Passenger 45,male,,0,0,T00045,8.05,,S
0,3,Passenger 46,male,,1,0,T00046,15.5,,Q
1,3,Passenger 47,female,,0,0,T00047,7.75,,Q
0,3,Passenger 48,male,,2,0,T00048,21.6792,,C
0,3,Passenger 49,female,18.0,1,0,T00049,17.8,,S
0,3,Passenger 50,male,7.0,4,1,T00050,39.6875,,S
0,3,Passenger 51,male,21.0,0,0,T00051,7.8,,S
1,1,Passenger 52,female,49.0,1,0,T00052,76.7292,D,C
1,2,Passenger 53,female,29.0,1,0,T00053,26.0,,S
0,1,Passenger 54,male,65.0,0,1,T00054,61.9792,B,C
1,1,Passenger 55,male,,0,0,T00055,35.5,C,S
1,2,Passenger 56,female,21.0,0,0,T00056,10.5,,S
0,3,Passenger 57,male,28.5,0,0,T00057,7.2292,,C
1,2,Passenger 58,female,5.0,1,2,T00058,27.75,,S
0,3,Passenger 59,male,11.0,5,2,T00059,46.9,,S
0,3,Passenger 60,male,22.0,0,0,T00060,7.2292,,C
1,1,Passenger 61,female,38.0,0,0,T00061,80.0,B,
0,1,Passenger 62,male,45.0,1,0,T00062,83.475,C,S
0,3,Passenger 63,male,4.0,3,2,T00063,27.9,,S
0,1,Passenger 64,male,,0,0,T00064,27.7208,,C
1,3,Passenger 65,male,,1,1,T00065,15.2458,,C
1,2,Passenger 66,female,29.0,0,0,T00066,10.5,F,S
0,3,Passenger 67,male,19.0,0,0,T00067,8.1583,,S
1,3,Passenger 68,female,17.0,4,2,T00068,7.925,,S
0,3,Passenger 69,male,26.0,2,0,T00069,8.6625,,S
0,2,Passenger 70,male,32.0,0,0,T00070,10.5,,S
0,3,Passenger 71,female,16.0,5,2,T00071,46.9,,S
0,2,Passenger 72,male,21.0,0,0,T00072,73.5,,S
0,3,Passenger 73,male,26.0,1,0,T00073,14.4542,,C
1,3,Passenger 74,male,32.0,0,0,T00074,56.4958,,S
0,3,Passenger 75,male,25.0,0,0,T00075,7.65,F,S
0,3,Passenger 76,male,,0,0,T00076,7.8958,,S
0,3,Passenger 77,male,,0,0,T00077,8.05,,S
1,2,Passenger 78,male,0.83,0,2,T00078,29.0,,S
1,3,Passenger 79,female,30.0,0,0,T00079,12.475,,S
0,3,Passenger 80,male,22.0,0,0,T00080,9.0,,S
1,3,Passenger 81,male,29.0,0,0,T00081,9.5,,S
1,3,Passenger 82,female,,0,0,T00082,7.7875,,Q
0,1,Passenger 83,male,28.0,0,0,T00083,47.1,,S
1,2,Passenger 84,female,17.0,0,0,T00084,10.5,,S
1,3,Passenger 85,female,33.0,3,0,T00085,15.85,,S
0,3,Passenger 86,male,16.0,1,3,T00086,34.375,,S
0,3,Passenger 87,male,,0,0,T00087,8.05,,S
1,1,Passenger 88,female,23.0,3,2,T00088,263.0,C,S
0,3,Passenger 89,male,24.0,0,0,T00089,8.05,,S
0,3,Passenger 90,male,29.0,0,0,T00090,8.05,,S
0,3,Passenger 91,male,20.0,0,0,T00091,7.8542,,S
0,1,Passenger 92,male,46.0,1,0,T00092,61.175,E,S
0,3,Passenger 93,male,26.0,1,2,T00093,20.575,,S
0,3,Passenger 94,male,59.0,0,0,T00094,7.25,,S
0,3,Passenger 95,male,,0,0,T00095,8.05,,S
0,1,Passenger 96,male,71.0,0,0,T00096,34.6542,A,C
1,1,Passenger 97,male,23.0,0,1,T00097,63.3583,D,C
1,2,Passenger 98,female,34.0,0,1,T00098,23.0,,S
0,2,Passenger 99,male,34.0,1,0,T00099,26.0,,S
0,3,Passenger 100,female,28.0,0,0,T00100,7.8958,,S
0,3,Passenger 101,male,,0,0,T00101,7.8958,,S
0,1,Passenger 102,male,21.0,0,1,T00102,77.2875,D,S
0,3,Passenger 103,male,33.0,0,0,T00103,8.6542,,S
0,3,Passenger 104,male,37.0,2,0,T00104,7.925,,S
0,3,Passenger 105,male,28.0,0,0,T00105,7.8958,,S
1,3,Passenger 106,female,21.0,0,0,T00106,7.65,,S
1,3,Passenger 107,male,,0,0,T00107,7.775,,S
0,3,Passenger 108,male,38.0,0,0,T00108,7.8958,,S
1,3,Passenger 109,female,,1,0,T00109,24.15,,Q
0,1,Passenger 110,male,47.0,0,0,T00110,52.0,C,S
0,3,Passenger 111,female,14.5,1,0,T00111,14.4542,,C
0,3,Passenger 112,male,22.0,0,0,T00112,8.05,,S
0,3,Passenger 113,female,20.0,1,0,T00113,9.825,,S
0,3,Passenger 114,female,17.0,0,0,T00114,14.4583,,C
0,3,Passenger 115,male,21.0,0,0,T00115,7.925,,S
0,3,Passenger 116,male,70.5,0,0,T00116,7.75,,Q
0,2,Passenger 117,male,29.0,1,0,T00117,21.0,,S
0,1,Passenger 118,male,24.0,0,1,T00118,247.5208,B,C
0,3,Passenger 119,female,2.0,4,2,T00119,31.275,,S
0,2,Passenger 120,male,21.0,2,0,T00120,73.5,,S
0,3,Passenger 121,male,,0,0,T00121,8.05,,S
0,2,Passenger 122,male,32.5,1,0,T00122,30.0708,,C
1,2,Passenger 123,female,32.5,0,0,T00123,13.0,E,S
0,1,Passenger 124,male,54.0,0,1,T00124,77.2875,D,S
1,3,Passenger 125,male,12.0,1,0,T00125,11.2417,,C
0,3,Passenger 126,male,,0,0,T00126,7.75,,Q
1,3,Passenger 127,male,24.0,0,0,T00127,7.1417,,S
1,3,Passenger 128,female,,1,1,T00128,22.3583,F,C
0,3,Passenger 129,male,45.0,0,0,T00129,6.975,,S
0,3,Passenger 130,male,33.0,0,0,T00130,7.8958,,C
0,3,Passenger 131,male,20.0,0,0,T00131,7.05,,S
0,3,Passenger 132,female,47.0,1,0,T00132,14.5,,S
1,2,Passenger 133,female,29.0,1,0,T00133,26.0,,S
0,2,Passenger 134,male,25.0,0,0,T00134,13.0,,S
0,2,Passenger 135,male,23.0,0,0,T00135,15.0458,,C
1,1,Passenger 136,female,19.0,0,2,T00136,26.2833,D,S
0,1,Passenger 137,male,37.0,1,0,T00137,53.1,C,S
0,3,Passenger 138,male,16.0,0,0,T00138,9.2167,,S
0,1,Passenger 139,male,24.0,0,0,T00139,79.2,B,C
0,3,Passenger 140,female,,0,2,T00140,15.2458,,C
1,3,Passenger 141,female,22.0,0,0,T00141,7.75,,S
1,3,Passenger 142,female,24.0,1,0,T00142,15.85,,S
0,3,Passenger 143,male,19.0,0,0,T00143,6.75,,Q
0,2,Passenger 144,male,18.0,0,0,T00144,11.5,,S
0,2,Passenger 145,male,19.0,1,1,T00145,36.75,,S
1,3,Passenger 146,male,27.0,0,0,T00146,7.7958,,S
0,3,Passenger 147,female,9.0,2,2,T00147,34.375,,S
0,2,Passenger 148,male,36.5,0,2,T00148,26.0,F,S
0,2,Passenger 149,male,42.0,0,0,T00149,13.0,,S
0,2,Passenger 150,male,51.0,0,0,T00150,12.525,,S
1,1,Passenger 151,female,22.0,1,0,T00151,66.6,C,S
0,3,Passenger 152,male,55.5,0,0,T00152,8.05,,S
0,3,Passenger 153,male,40.5,0,2,T00153,14.5,,S
0,3,Passenger 154,male,,0,0,T00154,7.3125,,S
0,1,Passenger 155,male,51.0,0,1,T00155,61.3792,,C
1,3,Passenger 156,female,16.0,0,0,T00156,7.7333,,Q
0,3,Passenger 157,male,30.0,0,0,T00157,8.05,,S
0,3,Passenger 158,male,,0,0,T00158,8.6625,,S
0,3,Passenger 159,male,,8,2,T00159,69.55,,S
0,3,Passenger 160,male,44.0,0,1,T00160,16.1,,S
1,2,Passenger 161,female,40.0,0,0,T00161,15.75,,S
0,3,Passenger 162,male,26.0,0,0,T00162,7.775,,S
0,3,Passenger 163,male,17.0,0,0,T00163,8.6625,,S
0,3,Passenger 164,male,1.0,4,1,T00164,39.6875,,S
1,3,Passenger 165,male,9.0,0,2,T00165,20.525,,S
1,1,Passenger 166,female,,0,1,T00166,55.0,E,S
0,3,Passenger 167,female,45.0,1,4,T00167,27.9,,S
0,1,Passenger 168,male,,0,0,T00168,25.925,,S
0,3,Passenger 169,male,28.0,0,0,T00169,56.4958,,S
0,1,Passenger 170,male,61.0,0,0,T00170,33.5,B,S
0,3,Passenger 171,male,4.0,4,1,T00171,29.125,,Q
1,3,Passenger 172,female,1.0,1,1,T00172,11.1333,,S
0,3,Passenger 173,male,21.0,0,0,T00173,7.925,,S
0,1,Passenger 174,male,56.0,0,0,T00174,30.6958,A,C
0,3,Passenger 175,male,18.0,1,1,T00175,7.8542,,S
0,3,Passenger 176,male,,3,1,T00176,25.4667,,S
0,1,Passenger 177,female,50.0,0,0,T00177,28.7125,C,C
0,2,Passenger 178,male,30.0,0,0,T00178,13.0,,S
0,3,Passenger 179,male,36.0,0,0,T00179,0.0,,S
0,3,Passenger 180,female,,8,2,T00180,69.55,,S
0,2,Passenger 181,male,,0,0,T00181,15.05,,C
0,3,Passenger 182,male,9.0,4,2,T00182,31.3875,,S
1,2,Passenger 183,male,1.0,2,1,T00183,39.0,F,S
1,3,Passenger 184,female,4.0,0,2,T00184,22.025,,S
0,1,Passenger 185,male,,0,0,T00185,50.0,A,S
1,3,Passenger 186,female,,1,0,T00186,15.5,,Q
1,1,Passenger 187,male,45.0,0,0,T00187,26.55,,S
0,3,Passenger 188,male,40.0,1,1,T00188,15.5,,Q
0,3,Passenger 189,male,36.0,0,0,T00189,7.8958,,S
1,2,Passenger 190,female,32.0,0,0,T00190,13.0,,S
0,2,Passenger 191,male,19.0,0,0,T00191,13.0,,S
1,3,Passenger 192,female,19.0,1,0,T00192,7.8542,,S
1,2,Passenger 193,male,3.0,1,1,T00193,26.0,F,S
1,1,Passenger 194,female,44.0,0,0,T00194,27.7208,B,C
1,1,Passenger 195,female,58.0,0,0,T00195,146.5208,B,C
0,3,Passenger 196,male,,0,0,T00196,7.75,,Q
0,3,Passenger 197,male,42.0,0,1,T00197,8.4042,,S
1,3,Passenger 198,female,,0,0,T00198,7.75,,Q
0,2,Passenger 199,female,24.0,0,0,T00199,13.0,,S
0,3,Passenger 200,male,28.0,0,0,T00200,9.5,,S
0,3,Passenger 201,male,,8,2,T00201,69.55,,S
0,3,Passenger 202,male,34.0,0,0,T00202,6.4958,,S
0,3,Passenger 203,male,45.5,0,0,T00203,7.225,,C
1,3,Passenger 204,male,18.0,0,0,T00204,8.05,,S
0,3,Passenger 205,female,2.0,0,1,T00205,10.4625,G,S
0,3,Passenger 206,male,32.0,1,0,T00206,15.85,,S
1,3,Passenger 207,male,26.0,0,0,T00207,18.7875,,C
1,3,Passenger 208,female,16.0,0,0,T00208,7.75,,Q
1,1,Passenger 209,male,40.0,0,0,T00209,31.0,A,C
0,3,Passenger 210,male,24.0,0,0,T00210,7.05,,S
1,2,Passenger 211,female,35.0,0,0,T00211,21.0,,S
0,3,Passenger 212,male,22.0,0,0,T00212,7.25,,S
0,2,Passenger 213,male,30.0,0,0,T00213,13.0,,S
0,3,Passenger 214,male,,1,0,T00214,7.75,,Q
1,1,Passenger 215,female,31.0,1,0,T00215,113.275,D,C
1,3,Passenger 216,female,27.0,0,0,T00216,7.925,,S
0,2,Passenger 217,male,42.0,1,0,T00217,27.0,,S
1,1,Passenger 218,female,32.0,0,0,T00218,76.2917,D,C
0,2,Passenger 219,male,30.0,0,0,T00219,10.5,,S
1,3,Passenger 220,male,16.0,0,0,T00220,8.05,,S
0,2,Passenger 221,male,27.0,0,0,T00221,13.0,,S
0,3,Passenger 222,male,51.0,0,0,T00222,8.05,,S
0,3,Passenger 223,male,,0,0,T00223,7.8958,,S
1,1,Passenger 224,male,38.0,1,0,T00224,90.0,C,S
0,3,Passenger 225,male,22.0,0,0,T00225,9.35,,S
1,2,Passenger 226,male,19.0,0,0,T00226,10.5,,S
0,3,Passenger 227,male,20.5,0,0,T00227,7.25,,S
0,2,Passenger 228,male,18.0,0,0,T00228,13.0,,S
0,3,Passenger 229,female,,3,1,T00229,25.4667,,S
1,1,Passenger 230,female,35.0,1,0,T00230,83.475,C,S
0,3,Passenger 231,male,29.0,0,0,T00231,7.775,,S
0,2,Passenger 232,male,59.0,0,0,T00232,13.5,,S
1,3,Passenger 233,female,5.0,4,2,T00233,31.3875,,S
0,2,Passenger 234,male,24.0,0,0,T00234,10.5,,S
0,3,Passenger 235,female,,0,0,T00235,7.55,,S
0,2,Passenger 236,male,44.0,1,0,T00236,26.0,,S
1,2,Passenger 237,female,8.0,0,2,T00237,26.25,,S
0,2,Passenger 238,male,19.0,0,0,T00238,10.5,,S
0,2,Passenger 239,male,33.0,0,0,T00239,12.275,,S
0,3,Passenger 240,female,,1,0,T00240,14.4542,,C
1,3,Passenger 241,female,,1,0,T00241,15.5,,Q
0,2,Passenger 242,male,29.0,0,0,T00242,10.5,,S
0,3,Passenger 243,male,22.0,0,0,T00243,7.125,,S
0,3,Passenger 244,male,30.0,0,0,T00244,7.225,,C
0,1,Passenger 245,male,44.0,2,0,T00245,90.0,C,Q
0,3,Passenger 246,female,25.0,0,0,T00246,7.775,,S
1,2,Passenger 247,female,24.0,0,2,T00247,14.5,,S
1,1,Passenger 248,male,37.0,1,1,T00248,52.5542,D,S
0,2,Passenger 249,male,54.0,1,0,T00249,26.0,,S
0,3,Passenger 250,male,,0,0,T00250,7.25,,S
0,3,Passenger 251,female,29.0,1,1,T00251,10.4625,G,S
0,1,Passenger 252,male,62.0,0,0,T00252,26.55,C,S
0,3,Passenger 253,male,30.0,1,0,T00253,16.1,,S
0,3,Passenger 254,female,41.0,0,2,T00254,20.2125,,S
1,3,Passenger 255,female,29.0,0,2,T00255,15.2458,,C
1,1,Passenger 256,female,,0,0,T00256,79.2,,C
1,1,Passenger 257,female,30.0,0,0,T00257,86.5,B,S
1,1,Passenger 258,female,35.0,0,0,T00258,512.3292,,C
1,2,Passenger 259,female,50.0,0,1,T00259,26.0,,S
0,3,Passenger 260,male,,0,0,T00260,7.75,,Q
1,3,Passenger 261,male,3.0,4,2,T00261,31.3875,,S
0,1,Passenger 262,male,52.0,1,1,T00262,79.65,E,S
0,1,Passenger 263,male,40.0,0,0,T00263,0.0,B,S
0,3,Passenger 264,female,,0,0,T00264,7.75,,Q
0,2,Passenger 265,male,36.0,0,0,T00265,10.5,,S
0,3,Passenger 266,male,16.0,4,1,T00266,39.6875,,S
1,3,Passenger 267,male,25.0,1,0,T00267,7.775,,S
1,1,Passenger 268,female,58.0,0,1,T00268,153.4625,C,S
1,1,Passenger 269,female,35.0,0,0,T00269,135.6333,C,S
0,1,Passenger 270,male,,0,0,T00270,31.0,,S
1,3,Passenger 271,male,25.0,0,0,T00271,0.0,,S
1,2,Passenger 272,female,41.0,0,1,T00272,19.5,,S
0,1,Passenger 273,male,37.0,0,1,T00273,29.7,C,C
1,3,Passenger 274,female,,0,0,T00274,7.75,,Q
1,1,Passenger 275,female,63.0,1,0,T00275,77.9583,D,S
0,3,Passenger 276,female,45.0,0,0,T00276,7.75,,S
0,2,Passenger 277,male,,0,0,T00277,0.0,,S
0,3,Passenger 278,male,7.0,4,1,T00278,29.125,,Q
1,3,Passenger 279,female,35.0,1,1,T00279,20.25,,S
0,3,Passenger 280,male,65.0,0,0,T00280,7.75,,Q
0,3,Passenger 281,male,28.0,0,0,T00281,7.8542,,S
0,3,Passenger 282,male,16.0,0,0,T00282,9.5,,S
1,3,Passenger 283,male,19.0,0,0,T00283,8.05,,S
0,1,Passenger 284,male,,0,0,T00284,26.0,A,S
0,3,Passenger 285,male,33.0,0,0,T00285,8.6625,,C
1,3,Passenger 286,male,30.0,0,0,T00286,9.5,,S
0,3,Passenger 287,male,22.0,0,0,T00287,7.8958,,S
1,2,Passenger 288,male,42.0,0,0,T00288,13.0,,S
1,3,Passenger 289,female,22.0,0,0,T00289,7.75,,Q
1,1,Passenger 290,female,26.0,0,0,T00290,78.85,,S
1,1,Passenger 291,female,19.0,1,0,T00291,91.0792,B,C
0,2,Passenger 292,male,36.0,0,0,T00292,12.875,D,C
0,3,Passenger 293,female,24.0,0,0,T00293,8.85,,S
0,3,Passenger 294,male,24.0,0,0,T00294,7.8958,,S
0,1,Passenger 295,male,,0,0,T00295,27.7208,,C
0,3,Passenger 296,male,23.5,0,0,T00296,7.2292,,C
0,1,Passenger 297,female,2.0,1,2,T00297,151.55,C,S
1,1,Passenger 298,male,,0,0,T00298,30.5,C,S
1,1,Passenger 299,female,50.0,0,1,T00299,247.5208,B,C
1,3,Passenger 300,female,,0,0,T00300,7.75,,Q
1,3,Passenger 301,male,,2,0,T00301,23.25,,Q
0,3,Passenger 302,male,19.0,0,0,T00302,0.0,,S
1,2,Passenger 303,female,,0,0,T00303,12.35,E,Q
0,3,Passenger 304,male,,0,0,T00304,8.05,,S
1,1,Passenger 305,male,0.92,1,2,T00305,151.55,C,S
1,1,Passenger 306,female,,0,0,T00306,110.8833,,C
1,1,Passenger 307,female,17.0,1,0,T00307,108.9,C,C
0,2,Passenger 308,male,30.0,1,0,T00308,24.0,,C
1,1,Passenger 309,female,30.0,0,0,T00309,56.9292,E,C
1,1,Passenger 310,female,24.0,0,0,T00310,83.1583,C,C
1,1,Passenger 311,female,18.0,2,2,T00311,262.375,B,C
0,2,Passenger 312,female,26.0,1,1,T00312,26.0,,S
0,3,Passenger 313,male,28.0,0,0,T00313,7.8958,,S
0,2,Passenger 314,male,43.0,1,1,T00314,26.25,,S
1,3,Passenger 315,female,26.0,0,0,T00315,7.8542,,S
1,2,Passenger 316,female,24.0,1,0,T00316,26.0,,S
0,2,Passenger 317,male,54.0,0,0,T00317,14.0,,S
1,1,Passenger 318,female,31.0,0,2,T00318,164.8667,C,S
1,1,Passenger 319,female,40.0,1,1,T00319,134.5,E,C
0,3,Passenger 320,male,22.0,0,0,T00320,7.25,,S
0,3,Passenger 321,male,27.0,0,0,T00321,7.8958,,S
1,2,Passenger 322,female,30.0,0,0,T00322,12.35,,Q
1,2,Passenger 323,female,22.0,1,1,T00323,29.0,,S
0,3,Passenger 324,male,,8,2,T00324,69.55,,S
1,1,Passenger 325,female,36.0,0,0,T00325,135.6333,C,C
0,3,Passenger 326,male,61.0,0,0,T00326,6.2375,,S
1,2,Passenger 327,female,36.0,0,0,T00327,13.0,D,S
1,3,Passenger 328,female,31.0,1,1,T00328,20.525,,S
1,1,Passenger 329,female,16.0,0,1,T00329,57.9792,B,C
1,3,Passenger 330,female,,2,0,T00330,23.25,,Q
0,1,Passenger 331,male,45.5,0,0,T00331,28.5,C,S
0,1,Passenger 332,male,38.0,0,1,T00332,153.4625,C,S
0,3,Passenger 333,male,16.0,2,0,T00333,18.0,,S
1,1,Passenger 334,female,,1,0,T00334,133.65,,S
0,3,Passenger 335,male,,0,0,T00335,7.8958,,S
0,1,Passenger 336,male,29.0,1,0,T00336,66.6,C,S
1,1,Passenger 337,female,41.0,0,0,T00337,134.5,E,C
1,3,Passenger 338,male,45.0,0,0,T00338,8.05,,S
0,1,Passenger 339,male,45.0,0,0,T00339,35.5,,S
1,2,Passenger 340,male,2.0,1,1,T00340,26.0,F,S
1,1,Passenger 341,female,24.0,3,2,T00341,263.0,C,S
0,2,Passenger 342,male,28.0,0,0,T00342,13.0,,S
0,2,Passenger 343,male,25.0,0,0,T00343,13.0,,S
0,2,Passenger 344,male,36.0,0,0,T00344,13.0,,S
1,2,Passenger 345,female,24.0,0,0,T00345,13.0,F,S
1,2,Passenger 346,female,40.0,0,0,T00346,13.0,,S
1,3,Passenger 347,female,,1,0,T00347,16.1,,S
1,3,Passenger 348,male,3.0,1,1,T00348,15.9,,S
0,3,Passenger 349,male,42.0,0,0,T00349,8.6625,,S
0,3,Passenger 350,male,23.0,0,0,T00350,9.225,,S
0,1,Passenger 351,male,,0,0,T00351,35.0,C,S
0,3,Passenger 352,male,15.0,1,1,T00352,7.2292,,C
0,3,Passenger 353,male,25.0,1,0,T00353,17.8,,S
0,3,Passenger 354,male,,0,0,T00354,7.225,,C
0,3,Passenger 355,male,28.0,0,0,T00355,9.5,,S
1,1,Passenger 356,female,22.0,0,1,T00356,55.0,E,S
0,2,Passenger 357,female,38.0,0,0,T00357,13.0,,S
1,3,Passenger 358,female,,0,0,T00358,7.8792,,Q
1,3,Passenger 359,female,,0,0,T00359,7.8792,,Q
0,3,Passenger 360,male,40.0,1,4,T00360,27.9,,S
0,2,Passenger 361,male,29.0,1,0,T00361,27.7208,,C
0,3,Passenger 362,female,45.0,0,1,T00362,14.4542,,C
0,3,Passenger 363,male,35.0,0,0,T00363,7.05,,S
0,3,Passenger 364,male,,1,0,T00364,15.5,,Q
0,3,Passenger 365,male,30.0,0,0,T00365,7.25,,S
1,1,Passenger 366,female,60.0,1,0,T00366,75.25,D,C
1,3,Passenger 367,female,,0,0,T00367,7.2292,,C
1,3,Passenger 368,female,,0,0,T00368,7.75,,Q
1,1,Passenger 369,female,24.0,0,0,T00369,69.3,B,C
1,1,Passenger 370,male,25.0,1,0,T00370,55.4417,E,C
0,3,Passenger 371,male,18.0,1,0,T00371,6.4958,,S
0,3,Passenger 372,male,19.0,0,0,T00372,8.05,,S
0,1,Passenger 373,male,22.0,0,0,T00373,135.6333,,C
0,3,Passenger 374,female,3.0,3,1,T00374,21.075,,S
1,1,Passenger 375,female,,1,0,T00375,82.1708,,C
1,3,Passenger 376,female,22.0,0,0,T00376,7.25,,S
0,1,Passenger 377,male,27.0,0,2,T00377,211.5,C,C
0,3,Passenger 378,male,20.0,0,0,T00378,4.0125,,C
0,3,Passenger 379,male,19.0,0,0,T00379,7.775,,S
1,1,Passenger 380,female,42.0,0,0,T00380,227.525,,C
1,3,Passenger 381,female,1.0,0,2,T00381,15.7417,,C
0,3,Passenger 382,male,32.0,0,0,T00382,7.925,,S
1,1,Passenger 383,female,35.0,1,0,T00383,52.0,,S
0,3,Passenger 384,male,,0,0,T00384,7.8958,,S
0,2,Passenger 385,male,18.0,0,0,T00385,73.5,,S
0,3,Passenger 386,male,1.0,5,2,T00386,46.9,,S
1,2,Passenger 387,female,36.0,0,0,T00387,13.0,,S
0,3,Passenger 388,male,,0,0,T00388,7.7292,,Q
1,2,Passenger 389,female,17.0,0,0,T00389,12.0,,C
1,1,Passenger 390,male,36.0,1,2,T00390,120.0,B,S
1,3,Passenger 391,male,21.0,0,0,T00391,7.7958,,S
0,3,Passenger 392,male,28.0,2,0,T00392,7.925,,S
1,1,Passenger 393,female,23.0,1,0,T00393,113.275,D,C
1,3,Passenger 394,female,24.0,0,2,T00394,16.7,G,S
0,3,Passenger 395,male,22.0,0,0,T00395,7.7958,,S
0,3,Passenger 396,female,31.0,0,0,T00396,7.8542,,S
0,2,Passenger 397,male,46.0,0,0,T00397,26.0,,S
0,2,Passenger 398,male,23.0,0,0,T00398,10.5,,S
1,2,Passenger 399,female,28.0,0,0,T00399,12.65,,S
1,3,Passenger 400,male,39.0,0,0,T00400,7.925,,S
0,3,Passenger 401,male,26.0,0,0,T00401,8.05,,S
0,3,Passenger 402,female,21.0,1,0,T00402,9.825,,S
0,3,Passenger 403,male,28.0,1,0,T00403,15.85,,S
0,3,Passenger 404,female,20.0,0,0,T00404,8.6625,,S
0,2,Passenger 405,male,34.0,1,0,T00405,21.0,,S
0,3,Passenger 406,male,51.0,0,0,T00406,7.75,,S
1,2,Passenger 407,male,3.0,1,1,T00407,18.75,,S
0,3,Passenger 408,male,21.0,0,0,T00408,7.775,,S
0,3,Passenger 409,female,,3,1,T00409,25.4667,,S
0,3,Passenger 410,male,,0,0,T00410,7.8958,,S
0,3,Passenger 411,male,,0,0,T00411,6.8583,,Q
1,1,Passenger 412,female,33.0,1,0,T00412,90.0,C,Q
0,2,Passenger 413,male,,0,0,T00413,0.0,,S
1,3,Passenger 414,male,44.0,0,0,T00414,7.925,,S
0,3,Passenger 415,female,,0,0,T00415,8.05,,S
1,2,Passenger 416,female,34.0,1,1,T00416,32.5,,S
1,2,Passenger 417,female,18.0,0,2,T00417,13.0,,S
0,2,Passenger 418,male,30.0,0,0,T00418,13.0,,S
0,3,Passenger 419,female,10.0,0,2,T00419,24.15,,S
0,3,Passenger 420,male,,0,0,T00420,7.8958,,C
0,3,Passenger 421,male,21.0,0,0,T00421,7.7333,,Q
0,3,Passenger 422,male,29.0,0,0,T00422,7.875,,S
0,3,Passenger 423,female,28.0,1,1,T00423,14.4,,S
0,3,Passenger 424,male,18.0,1,1,T00424,20.2125,,S
0,3,Passenger 425,male,,0,0,T00425,7.25,,S
1,2,Passenger 426,female,28.0,1,0,T00426,26.0,,S
1,2,Passenger 427,female,19.0,0,0,T00427,26.0,,S
0,3,Passenger 428,male,,0,0,T00428,7.75,,Q
1,3,Passenger 429,male,32.0,0,0,T00429,8.05,E,S
1,1,Passenger 430,male,28.0,0,0,T00430,26.55,C,S
1,3,Passenger 431,female,,1,0,T00431,16.1,,S
1,2,Passenger 432,female,42.0,1,0,T00432,26.0,,S
0,3,Passenger 433,male,17.0,0,0,T00433,7.125,,S
